,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
109,Problem,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,audio_features,7vS3Y0IKjde7Xg85LWIEdP,spotify:track:7vS3Y0IKjde7Xg85LWIEdP,https://api.spotify.com/v1/tracks/7vS3Y0IKjde7Xg85LWIEdP,https://api.spotify.com/v1/audio-analysis/7vS3Y0IKjde7Xg85LWIEdP,193920,4
110,Ishq Shava,0.731,0.9,6,-7.66,0,0.0466,0.126,0.0256,0.0722,0.963,143.991,audio_features,3RTL7zAwEu9vi5F4M9zeX1,spotify:track:3RTL7zAwEu9vi5F4M9zeX1,https://api.spotify.com/v1/tracks/3RTL7zAwEu9vi5F4M9zeX1,https://api.spotify.com/v1/audio-analysis/3RTL7zAwEu9vi5F4M9zeX1,270315,4
111,Go Go,0.856,0.617,10,-5.308,0,0.084,0.171,0.0,0.0857,0.759,136.081,audio_features,5vOT8VO87TAnUjh0oADwb1,spotify:track:5vOT8VO87TAnUjh0oADwb1,https://api.spotify.com/v1/tracks/5vOT8VO87TAnUjh0oADwb1,https://api.spotify.com/v1/audio-analysis/5vOT8VO87TAnUjh0oADwb1,235780,4
112,un x100to,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,audio_features,6pD0ufEQq0xdHSsRbg9LBK,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/tracks/6pD0ufEQq0xdHSsRbg9LBK,https://api.spotify.com/v1/audio-analysis/6pD0ufEQq0xdHSsRbg9LBK,194563,4
113,Closer to You (feat. Major Lazer),0.781,0.655,2,-7.073,0,0.0457,0.114,0.00249,0.103,0.493,113.031,audio_features,06Qo2fYR2KS1F7bL338iVT,spotify:track:06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/tracks/06Qo2fYR2KS1F7bL338iVT,https://api.spotify.com/v1/audio-analysis/06Qo2fYR2KS1F7bL338iVT,170995,4
114,Goodbye,0.725,0.308,7,-9.941,1,0.039,0.604,0.0,0.121,0.154,126.061,audio_features,2ySaltE2swk0QsimILPK05,spotify:track:2ySaltE2swk0QsimILPK05,https://api.spotify.com/v1/tracks/2ySaltE2swk0QsimILPK05,https://api.spotify.com/v1/audio-analysis/2ySaltE2swk0QsimILPK05,249428,4
115,Matargashti,0.792,0.63,0,-6.741,1,0.0682,0.102,0.0,0.0758,0.659,100.022,audio_features,5GeBgck1MU2tlIkMpsn8uT,spotify:track:5GeBgck1MU2tlIkMpsn8uT,https://api.spotify.com/v1/tracks/5GeBgck1MU2tlIkMpsn8uT,https://api.spotify.com/v1/audio-analysis/5GeBgck1MU2tlIkMpsn8uT,328052,4
116,Do It All Again,0.748,0.786,10,-5.129,0,0.057,0.0226,5.54e-05,0.167,0.664,123.996,audio_features,6BwPstqf4RoRMbDidFWNxE,spotify:track:6BwPstqf4RoRMbDidFWNxE,https://api.spotify.com/v1/tracks/6BwPstqf4RoRMbDidFWNxE,https://api.spotify.com/v1/audio-analysis/6BwPstqf4RoRMbDidFWNxE,137419,4
117,Let's Shut Up & Dance,0.765,0.893,6,-2.891,0,0.209,0.042,0.000271,0.0331,0.715,110.051,audio_features,05fVrhFBjfElZiDfHDRxhF,spotify:track:05fVrhFBjfElZiDfHDRxhF,https://api.spotify.com/v1/tracks/05fVrhFBjfElZiDfHDRxhF,https://api.spotify.com/v1/audio-analysis/05fVrhFBjfElZiDfHDRxhF,208261,4
118,"me, my girls & i",0.799,0.891,7,-4.239,1,0.128,0.163,9.37e-05,0.281,0.74,100.01,audio_features,2K7CqNeCpbO0RoD4bAZ5tU,spotify:track:2K7CqNeCpbO0RoD4bAZ5tU,https://api.spotify.com/v1/tracks/2K7CqNeCpbO0RoD4bAZ5tU,https://api.spotify.com/v1/audio-analysis/2K7CqNeCpbO0RoD4bAZ5tU,149512,4
