,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
917,2018-05-19T18:11:58Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",5834,US,75.84.183.73,unknown,Outro: Tear,BTS,Love Yourself 轉 'Tear',spotify:track:5p10VwQ8LRoyTc8LFrvPw6,,,,fwdbtn,fwdbtn,True,,False,1526748154040,False
918,2018-05-19T19:07:44Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",1346,US,75.84.183.73,unknown,DNA,BTS,Love Yourself 承 'Her',spotify:track:5SE57ljOIUJ1ybL9U6CuBH,,,,fwdbtn,unexpected-exit-while-paused,True,,False,1526753517643,False
919,2018-05-20T14:51:40Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",215962,US,75.84.183.73,unknown,K.O.,SF9,SF9 1st Debut Single Album [Feeling Sensation],spotify:track:3vSeUXswRPjUkJulPu4QKi,,,,fwdbtn,trackdone,False,,False,1526827684222,False
920,2018-05-20T14:52:53Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",10346,US,75.84.183.73,unknown,Colors,DAY6,The Day,spotify:track:0vmsCEstRxinpCoULrUJrj,,,,trackdone,endplay,False,,False,1526827961467,False
921,2018-05-20T14:56:42Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",229373,US,75.84.183.73,unknown,Where U At,TAEYANG,Solar,spotify:track:1D7MAYUiTDxiG4FqhLj774,,,,clickrow,trackdone,False,,False,1526827973158,False
922,2018-05-20T14:57:02Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",11939,US,75.84.183.73,unknown,Ma Boy 2 (feat. 효린),Electroboyz,Rebirth,spotify:track:5v3gKiiPLuTOEUoGt5XGZ6,,,,trackdone,endplay,False,,False,1526828201926,False
923,2018-05-20T15:00:40Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",218614,US,75.84.183.73,unknown,Airplane pt.2,BTS,Love Yourself 轉 'Tear',spotify:track:1trFxVLL8WKhYap543e74l,,,,clickrow,trackdone,True,,False,1526828221693,False
924,2018-05-20T15:02:06Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",86053,US,75.84.183.73,unknown,INTRO : Ringwanderung,BTS,FACE YOURSELF,spotify:track:3asJVXjbxNEOwPUL47wvcc,,,,trackdone,trackdone,True,,False,1526828439486,False
925,2018-05-20T15:02:12Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",4423,US,75.84.183.73,unknown,Best Of Me - Japanese ver.,BTS,FACE YOURSELF,spotify:track:6yGKx4J9UdMp7tcaGXWzDj,,,,trackdone,fwdbtn,True,,False,1526828525818,False
926,2018-05-20T15:06:08Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",237306,US,75.84.183.73,unknown,Go Go - Japanese ver.,BTS,FACE YOURSELF,spotify:track:0YguyyCOTyujhSDXWyB4W3,,,,fwdbtn,trackdone,True,,False,1526828531364,False
927,2018-05-20T15:09:50Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",221529,US,75.84.183.73,unknown,Love Maze,BTS,Love Yourself 轉 'Tear',spotify:track:645YBsxhFPSOKxGep3uHLv,,,,trackdone,trackdone,True,,False,1526828767797,False
928,2018-05-20T15:14:09Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",227413,US,75.84.183.73,unknown,Don't Leave Me,BTS,FACE YOURSELF,spotify:track:3zIG0WuI5RoJsFYnErkFDU,,,,trackdone,trackdone,True,,False,1526829020507,False
929,2018-05-20T15:15:56Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",107062,US,75.84.183.73,unknown,Skit: Billboard Music Awards Speech,BTS,Love Yourself 承 'Her',spotify:track:7KXEhfjwdxHVra8VcT2QHH,,,,trackdone,trackdone,True,,False,1526829248336,False
930,2018-05-20T15:16:08Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",10547,US,75.84.183.73,unknown,MIC Drop - Japanese ver.,BTS,FACE YOURSELF,spotify:track:3N6te5xi59Ex4HudLKsgGS,,,,trackdone,fwdbtn,True,,False,1526829355876,False
